                      k,                 E_total,                  E_comp,                   E_rot,               Enstrophy,                Helicity,            E_total_comp,             E_comp_comp,              E_rot_comp,               Enst_comp
 1.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 2.0000000000000000e+00,  1.2491253110863855e-01,  0.0000000000000000e+00,  1.2491253110863855e-01,  3.7473759332591561e-01, -7.7639786223017875e-19,  3.9657256657172657e-01,  0.0000000000000000e+00,  3.9657256657172657e-01,  2.9742942492879493e-01
 3.0000000000000000e+00,  1.2480976975842717e-05,  0.0000000000000000e+00,  1.2480976975842717e-05,  9.9853006742534056e-05, -7.6248364500314221e-22,  7.7884434910001148e-05,  0.0000000000000000e+00,  7.7884434910001148e-05,  6.9234208002745936e-05
 4.0000000000000000e+00,  6.2371433018348910e-10,  0.0000000000000000e+00,  6.2371433018348910e-10,  1.1850942227553674e-08,  5.3834317454621914e-23,  6.2866465097540734e-09,  0.0000000000000000e+00,  6.2866465097540734e-09,  7.4656257867914562e-09
 5.0000000000000000e+00,  1.2376211167008933e-13,  0.0000000000000000e+00,  1.2376211167008933e-13,  2.9716229477116940e-12, -2.1332639873609999e-26,  1.8094130492101140e-12,  0.0000000000000000e+00,  1.8094130492101140e-12,  1.7378156420778795e-12
 6.0000000000000000e+00,  6.2311267257086911e-14,  0.0000000000000000e+00,  6.2311267257086911e-14,  2.0239365738916604e-12, -1.6211811499497565e-24,  1.2344836276159852e-12,  0.0000000000000000e+00,  1.2344836276159852e-12,  1.1138152205612178e-12
 7.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  2.2204460492503131e-16,  7.8164525460996948e-27,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  1.1607558438313741e-16
 8.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00, -1.5479459705368248e-27,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 9.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  4.6050140528265442e-29,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
 1.0000000000000000e+01,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  6.3717466280107311e-30,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00,  0.0000000000000000e+00
